epoch,loss,lr
0,1.1018283367156982,1e-04
1,0.8760197758674622,1e-04
2,0.771344006061554,1e-04
3,0.7033412456512451,1e-04
4,0.6648226976394653,1e-04
5,0.628809928894043,1e-04
6,0.5942023992538452,1e-04
7,0.5539371371269226,1e-04
8,0.5375654101371765,1e-04
9,0.5187262296676636,1e-04
10,0.4978192150592804,1e-04
11,0.47916677594184875,1e-04
12,0.4708837866783142,1e-04
13,0.4564507305622101,1e-04
14,0.43866080045700073,1e-04
15,0.4446415901184082,1e-04
16,0.41744500398635864,1e-04
17,0.39538711309432983,1e-04
18,0.3903804123401642,1e-04
19,0.37187278270721436,1e-04
20,0.35476261377334595,1e-04
21,0.354017049074173,1e-04
22,0.34666043519973755,1e-04
23,0.3365154564380646,1e-04
24,0.3222496807575226,1e-04
25,0.3113159239292145,1e-04
26,0.3007320463657379,1e-04
27,0.2806291878223419,1e-04
28,0.27105849981307983,1e-04
29,0.2612607777118683,1e-04
30,0.24768751859664917,1e-04
31,0.2429065704345703,1e-04
32,0.2383711040019989,1e-04
33,0.2363993376493454,1e-04
34,0.22584472596645355,1e-04
35,0.22068843245506287,1e-04
36,0.21437475085258484,1e-04
37,0.20160679519176483,1e-04
38,0.1884833425283432,1e-04
39,0.1870376020669937,1e-04
40,0.1836218535900116,1e-04
41,0.1814950853586197,1e-04
42,0.1808711588382721,1e-04
43,0.17470219731330872,1e-04
44,0.16656175255775452,1e-04
45,0.1590147763490677,1e-04
46,0.16026832163333893,1e-04
47,0.15591736137866974,1e-04
48,0.151810884475708,1e-04
49,0.14911994338035583,1e-04
50,0.13861550390720367,1e-04
51,0.13374309241771698,1e-04
52,0.136106938123703,1e-04
53,0.13338011503219604,1e-04
54,0.12817180156707764,1e-04
55,0.1252010464668274,1e-04
56,0.12313547730445862,1e-04
57,0.12480583786964417,1e-04
58,0.11824551224708557,1e-04
59,0.1144535094499588,1e-04
60,0.11269711703062057,1e-04
61,0.10852580517530441,1e-04
62,0.11355593055486679,1e-04
63,0.10893255472183228,1e-04
64,0.11298472434282303,1e-04
65,0.10222219675779343,1e-04
66,0.10591214895248413,1e-04
67,0.10009904205799103,1e-04
68,0.09845906496047974,1e-04
69,0.09380858391523361,1e-04
70,0.09027387946844101,1e-04
71,0.09054829180240631,1e-04
72,0.09069564193487167,1e-04
73,0.08982177078723907,1e-04
74,0.08944213390350342,1e-04
75,0.0859861671924591,1e-04
76,0.08375919610261917,1e-04
77,0.08743593096733093,1e-04
78,0.08739165961742401,1e-04
79,0.08586949855089188,1e-04
80,0.08965180069208145,1e-04
81,0.08606083691120148,1e-04
82,0.08402112871408463,1e-04
83,0.08024683594703674,1e-04
84,0.07805311679840088,1e-04
85,0.07572967559099197,1e-04
86,0.07031259685754776,1e-04
87,0.07080668210983276,1e-04
88,0.07019845396280289,1e-04
89,0.07199032604694366,1e-04
90,0.07214425504207611,1e-04
91,0.07144606113433838,1e-04
92,0.07144197821617126,1e-04
93,0.07458258420228958,1e-04
94,0.06907131522893906,1e-04
95,0.06867492198944092,1e-04
96,0.06580016016960144,1e-04
97,0.0630684643983841,1e-04
98,0.06106499955058098,1e-04
99,0.058646053075790405,1e-04
